,Symbol,Ensembl
649,Gm13629,ENSMUSG00000087301
650,Cck,ENSMUSG00000032532
651,Usp28,ENSMUSG00000032267
652,Zbtb16,ENSMUSG00000066687
653,Pgam2,ENSMUSG00000020475
654,Nrtn,ENSMUSG00000039481
655,Tmem182,ENSMUSG00000079588
656,Tcap,ENSMUSG00000007877
657,Prox1os,ENSMUSG00000079045
658,Qpct,ENSMUSG00000024084
659,Nr2e1,ENSMUSG00000019803
660,Dlx2,ENSMUSG00000023391
661,Dlx1,ENSMUSG00000041911
662,Grpr,ENSMUSG00000031364
663,Wnt10a,ENSMUSG00000026167
664,Wnt5b,ENSMUSG00000030170
665,Aqp5,ENSMUSG00000044217
666,Rgs2,ENSMUSG00000026360
667,Nkain3,ENSMUSG00000055761
668,Cdh8,ENSMUSG00000036510
669,Nell1,ENSMUSG00000055409
670,Chrm2,ENSMUSG00000045613
671,Cyp26b1,ENSMUSG00000063415
672,2810455O05Rik,ENSMUSG00000085030
673,Ptpro,ENSMUSG00000030223
674,Edaradd,ENSMUSG00000095105
675,Gad2,ENSMUSG00000026787
676,Slitrk4,ENSMUSG00000046699
677,Ibsp,ENSMUSG00000029306
678,Ntng1,ENSMUSG00000059857
679,Dscaml1,ENSMUSG00000032087
680,Teddm3,ENSMUSG00000090356
681,Id2,ENSMUSG00000020644
682,Hapln1,ENSMUSG00000021613
683,Baiap2l2,ENSMUSG00000018126
684,Lhx6,ENSMUSG00000026890
685,Slc6a1,ENSMUSG00000030310
686,Sst,ENSMUSG00000004366
687,Tmem91,ENSMUSG00000061702
688,Mafb,ENSMUSG00000074622
689,Elfn1,ENSMUSG00000048988
690,Trhde,ENSMUSG00000050663
691,Arx,ENSMUSG00000035277
692,Rpp25,ENSMUSG00000062309
